ref_month,year,month,fuel,value
2014-11-01,2014,11,gas,0.8219714622438891
2014-12-01,2014,12,electricity,0.9576843450137295
2014-12-01,2014,12,gas,0.9915099685779998
2015-01-01,2015,1,electricity,1
2015-01-01,2015,1,gas,1
2015-02-01,2015,2,electricity,0.9161586641626411
2015-02-01,2015,2,gas,0.9266344459423719
2015-03-01,2015,3,electricity,0.9491093636494499
2015-03-01,2015,3,gas,0.8555089311154731
2015-04-01,2015,4,electricity,0.8428422698254882
2015-04-01,2015,4,gas,0.5950488702770618
2015-05-01,2015,5,electricity,0.8284575135829993
2015-05-01,2015,5,gas,0.5244619135880357
2015-06-01,2015,6,electricity,0.7846069382931785
2015-06-01,2015,6,gas,0.43330960472952923
2015-07-01,2015,7,electricity,0.8195829525406821
2015-07-01,2015,7,gas,0.39977416188009807
2015-08-01,2015,8,electricity,0.7882926763948728
2015-08-01,2015,8,gas,0.3986734329555204
2015-09-01,2015,9,electricity,0.8112741405802778
2015-09-01,2015,9,gas,0.4868046931404517
2015-10-01,2015,10,electricity,0.8561591328305196
2015-10-01,2015,10,gas,0.6238818119461239
2015-11-01,2015,11,electricity,0.8978036214636498
2015-11-01,2015,11,gas,0.7478395743988709
2015-12-01,2015,12,electricity,0.9172198621446912
2015-12-01,2015,12,gas,0.7646667491001103
2016-01-01,2016,1,electricity,1
2016-01-01,2016,1,gas,1
2016-02-01,2016,2,electricity,0.9413625824615639
2016-02-01,2016,2,gas,0.9327659135501404
2016-03-01,2016,3,electricity,0.962136686080212
2016-03-01,2016,3,gas,0.9421534235623015
2016-04-01,2016,4,electricity,0.8690896795384913
2016-04-01,2016,4,gas,0.7767009465344898
2016-05-01,2016,5,electricity,0.8234563471252311
2016-05-01,2016,5,gas,0.5573107610778243
2016-06-01,2016,6,electricity,0.7951640950619668
2016-06-01,2016,6,gas,0.48091675382444304
2016-07-01,2016,7,electricity,0.8120842419056556
2016-07-01,2016,7,gas,0.43495359276496703
2016-08-01,2016,8,electricity,0.8069467829639239
2016-08-01,2016,8,gas,0.41950191484199206
2016-09-01,2016,9,electricity,0.8198266582019929
2016-09-01,2016,9,gas,0.45984498196410006
2016-10-01,2016,10,electricity,0.8935693781224985
2016-10-01,2016,10,gas,0.7144632371301052
2016-11-01,2016,11,electricity,0.9714558778878798
2016-11-01,2016,11,gas,0.9817221892317614
2016-12-01,2016,12,electricity,0.9821517292776506
2016-12-01,2016,12,gas,0.9960930000284357
2017-01-01,2017,1,electricity,1
2017-01-01,2017,1,gas,1
2017-02-01,2017,2,electricity,0.8792262094675153
